Index, TweetID,Tweet,Biased,Timestamp,Username
1,"Except the Jews, the Hindus, the centrist, the Feminist or the descenting activists. #LabourAntiSemitism",0,2013-06-10 03:48:38,010714fz
2,@DiamondandSilk Blacks for tRump is like Jews for Hitler! â€¦ Maybe too complicated for you two to fathom.,0,2013-02-26 22:07:22,010714fz
3,"@kylesean27 And when he was come unto us, he took Paul's girdle, and bound his own hands and feet, and said, Thus saith the Holy Ghost, So shall the Jews at Jerusalem bind the man that owneth this girdle, and shall deliver him into the hands of the Gentiles.\n\nActs 21:11\n\n#LearnFromTheBible",0,2013-08-20 11:48:12,010714fz
4,Yair Netanyahu ran a poll &amp; now knows for sure that Al Jazeera hates Jews https://t.co/K8pKYrTH4Y,0,2013-05-18 10:32:02,12peers
5,"Who is ""them""?\n\nI mostly ignore ignorant celebrities because ignorance is part of the deal, but I tend to draw the line at suggestions of ethnically cleansing Jews from their home country. https://t.co/1QM4HE8uXK",0,2013-04-11 10:04:21,12peers
6,@abdullahadam Ultra orthodox jews - heavily over represented in corona infections in New York and Tel Aviv,0,2013-06-30 22:03:49,12peers
7,"1)This is a good answer from @BernieSanders and it captures the sentiment of lots of American Jews with regard to Israel;\n2) It’s appalling that, in the context of talking about Sanders as a Jewish candidate, he was asked by a moderator if he was sufficiently supportive of Israel https://t.co/ZOAcq2crqg",0,2013-05-28 18:29:08,12peers
8,"russia showed its essence with the specially appointing a meeting on the Palestinian conflict on the same day as the Day of Remembrance of fallen soldiers and victims of Palestinian terror. In protest, Israel's permanent representative to the UN left the Security Councilâ€¦ https://t.co/Vn3NIkpN3M https://t.co/fyJsP0bY0T",0,2013-02-12 01:47:51,12peers
9,"@kishineff @MarkRuffalo 1. Its goal is not ethnic cleansing or replacing the arabs there's no athnic cleansing in israel, in fact tha palestinian population doubled itself for the past 60 years2.jews are indigenous to the land, they were exiled b4 the arab occupation around the 7th century",0,2013-04-25 15:53:19,12peers
10,"A â€œheavily armed manâ€ was arrested for threatening to kill all Jewish elected officials in Michigan. \n\nLike the man who recently shot 2 Jews in LA, he trafficked in antisemitic conspiracy theories related to COVID. He also referenced QAnon and the Big Lie. https://t.co/SgKnuMtJJo",0,2013-05-23 09:36:28,12peers
11,"Mordechai Rumkowski, head of the Judenrat in Lodz, Poland, speaking to a crowd in the Lodz ghetto on 15 June 1940. Rumkowski advocated a ""salvation through work"" policy, in which as many Jews as possible would work in German industries and thus ensure their survival. https://t.co/D4oslSd1O7",0,2013-03-14 23:53:54,12peers
12,"The people who’ve tried to silence me are the anti-Corbyn brigade. \n\nThey’ve used Lawfare, false accusations of anti-Semitism, accused me of keeping “lists of Jews” and have vexatiously reported my Twitter account. \n\nSo, no lectures from them when it comes to “silencing” people.",0,2013-04-19 05:51:49,12peers
13,WATCH: 'Now's the time for Republicans to wipe out the 'Squad'' | World Israel News https://t.co/3HoL4FgYDT #USA #America #Socialism #Squad #Congress,0,2013-06-13 20:56:02,12peers
14,"RT @ajit_gupta03: Be A Country like Israel , They Don't give a f**k Like #SaudiArabia #Qatar and Arab. Correctly said by #NupurSharma and stand with her. https://t.co/EkgpT37FO2",0,2013-05-02 14:05:04,12peers
15,"Speaking only for myself, I see no need to find common ground, or to even waste my time, with people who call me a racist or white supremacist. What’s the point? If they are going to demonize me in the same way that Nazis did the Jews, then I have nothing to say to them.",0,2013-06-06 08:08:05,1369tck
16,So let me get this straight? Everyone other than orthodox Jews (who simply want to let their children play in city parks) are allowed to take the law into their own hands in New York City? What the hell is going on here? https://t.co/nECnj3jYGT,0,2013-09-19 13:52:34,1369tck
17,"89% of Orthodox Jews will vote for #PresidentTrump. That's a huge number from the most involved, identified and educated segment of the American Jewish community.\nhttps://t.co/BeDc1p0R59",0,2013-07-10 23:52:59,155thMed
18,"RT @UAEinIsrael: Yesterday we met 5 top Emirati students from @KhalifaUni participating in the Bavaria Israel Partnership Accelerator. Engineering students from the UAE, Israel &amp; Germany came together to tackle challenges facing global companies &amp; find innovative solution https://t.co/hd0PnystW0",0,2013-04-29 16:27:31,155thMed
19,"Lots of posts this season being like ""Hallelujah isn't about Jesus it's about Jews having sex"" which is true but plenty of Leonard Cohen songs are about both",0,2013-10-26 08:41:53,155thMed
20,"The history of Jewish people is long and complicated, but never fix your mouth to speak about MY people and how we react to how we were violated by white people. Not only is this erasing Black Jews, it is also upholding white supremacy. 4/4",0,2013-09-17 08:54:56,155thMed
21,How fast are different countries vaccinating their population against COVID?\n\nIsrael: 11.6%\nUK: 1.5%\nUS: 0.9%\nGermany: 0.2%\nWorld: 0.13%\n\n→ Data for more countries you find in our COVID vaccine dataset here:\nhttps://t.co/3imP7PqURn https://t.co/Lc3KEGHh4q,0,2013-07-15 21:56:58,155thMed
22,"Egypt, Jordan, Syria and Palestinians together attacked a very small democratic country Israel which excels in science.\n\nWe all know the result.\n\nNow a single country which is mullah captured and led threaten Israel.\n\nWe already know the result if mullahs try anything.",0,2013-02-18 12:38:55,155thMed
23,"I learn from media that there have been no deaths due to COVID-19 in Israel. If so, some will take it as a Jewish conspiracy?",0,2013-03-26 23:04:53,155thMed
24,Seems like one of @JoeBidens 10-15% of bad people in America. Unless its okay to hate Jews. Rules seem to be changing fast this year. https://t.co/V9Kex77liL,0,2012-12-12 17:19:11,161_BKLYN
25,"Trump came through my neighborhood this evening. \n\nMany Los Angelenos screamed protests. \n\nOrthodox Jews thronged the sidewalks, holding up their children, waving and cheering the motorcade.",0,2013-06-21 13:26:11,161_BKLYN
26,@Albion43S @Farhan_Shakir_ @Wow__Amazing__ Theres a difference. You use the Jews book OT to establish your claims we dont care about their book or whether they reject us.\n\nAnd are you saying you have to know jesus personally to know his beliefs? Is this the hill you a christian is willing to die on? 😬,0,2013-08-24 05:45:00,161_BKLYN
27,Israel was built on the idea that Jews needed a safe haven in their ancestral homeland against mass slaughter. https://t.co/72BCNhKInm,0,2013-06-05 11:30:32,17AmericanTruth
28,More unhinged behavior by those who forgive violence against Jews. https://t.co/fzTwdkc9W3,0,2013-05-18 14:27:57,17AmericanTruth
29,"@RichardJMurphy Nothing is a resigning issue anymore. Blow 36 billion on a test and trace system that didn't work, nothing. Break the actual law that you created on social isolating, nothing. Be found to have been conducting your own foreign policy with Israel (treason) get promoted (Patel).",0,2013-01-31 10:58:57,1BIGLIFE
30,@SSrikan03410603 Hindu religious texts nowhere advocate for religious suicide of Hindus. We Hindus can accommodate communities like Parsis and Jews because they do not convert forcibly or by inducement,0,2013-09-15 15:30:15,1BIGLIFE
31,"@panyiszabolcs ""Europe is a gas chamber. We are the new Jews."" Fhrer Orban's culture boss Sz. Demeter? https://t.co/HbWhO4Z7bi",0,2013-01-12 09:42:47,1BIGLIFE
32,"Imran Khan was removed from power because he challenged America and refused to be affiliated with its relationship with Israel and its support for the resistance in defeating occupying forces in Afghanistan. Instead, he allied himself with the Sino-Russian axis.",0,2013-11-29 08:59:40,1BIGLIFE
33,"Yasmine and I just arrived in Israel. We are very happy to be here and are dedicated to working toward the peaceful &amp; prosperous future that the people of our region deserve. From the children of Cyrus, to the children of Israel, we will build this future together, in friendship. https://t.co/yN4UO3ecQ0",0,2013-08-11 06:20:08,1Dittlinger
34,DC Jews just appearing outside downtown mosque at midday prayer. Someone posted on Facebook and strangers just showing up https://t.co/wVYLDqwgYT,0,2013-05-17 21:40:45,1Dittlinger
35,@AP_Doramaqueen @RivkahBrown She claimed that Jews and travellers don't experience racism.\n\nShe either believes that or she doesn't. No amount of frustration would make someone say that who didn't believe it.\n\nThere is no way the left can spin this to make it any better and you demean yourselves by trying.,0,2013-11-13 19:42:03,1Dittlinger
36,The Miss Universe competition is in Israel next month. Wonderful news! And it will be hosted by the mighty Steve Harvey. I’m a big fan of Steve. It’s a shame the ANC government has withdrawn support for Miss South Africa.,0,2013-10-06 19:41:41,1Dittlinger
