Timestamp,Biased,Username,Tweet,Users Followed
2013-04-10 01:45:28,1,07wazeer,FOR THE ZIONIST JACKBOOT APARTHEID REGIME IN ISRAEL TO INFLICT A MORE THAN 50-YEAR MURDEROUS MILITARY DICTATORSHIP ON THE INDIGENOUS SEMITIC PEOPLE OF PALESTINE IS CRIMINAL ANTISEMITISM IN SPADES. @NydiaVelazquez @RepYvetteClarke @LeaderMcConnell @LeaderMcCarthy @JoeManchinWV,['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-11-18 17:05:02,0,07wazeer,"“I would probably get a body count of like 30 kikes and then like five police officers because I would also decide to fight to the death,” Ross Anthony Farca said in a post.\n\nhttps://t.co/kNbnZjfOe1",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-06-06 01:34:05,0,07wazeer,jews 🤝 lesbians \nslurs that rhyme,['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-01-01 14:30:07,1,07wazeer,"@ProfSunnySingh The nazis did not campaign for the jews to have the same rights as them but only objected to their claim the old testament was the true version of History.\n""Trans-exclusionary"" people do support trans rights but object to the single-sided rewriting of biology books...\nIdiot.",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-01-13 04:21:10,0,07wazeer,@ageofkalki @VinodDX9 Search for Maitri missile of DRDO with French collab. It’s an QRSAM.\nAlso do search for MRSAM or land based version of Barak8. \nEven 155mm upgrade of 130mm Russian field gun is also from Israel tech. Ord Fac had done 300 with Israel but then banned. Rest guns upgrade on by ORDFac,['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-11-19 14:52:30,0,07wazeer,"Hundreds gather during corona pandemic. Following the gathering of Orthodox Jews for a funeral in New York, the mayor of the metropolitan city ordered the police to intervene and arrest the protesters. #COVID19 #COVID__19 #COVID?19 #coronavirus https://t.co/HAphx78IGg",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2012-12-30 03:00:51,1,07wazeer,@KFCAustralia Filthy kikes,['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-06-20 02:15:03,1,07wazeer,"RT @BDSmovement: Apartheid Israel's occupation forces executed 22-year-old Palestinian, Ammar Mofleh, at point blank range as he lay on the ground on his back.   States &amp; intl. orgs &amp; institutions must hold Israel to account.  #MilitaryEmbargo, #SanctionsOnApartheid &amp; #UninvestigateApartheid now! https://t.co/tJ3V38EALu",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-04-04 11:04:35,1,07wazeer,"@djaspora @RasThaFarEye The zionazis still harbour the expansionist dream,greater israel. Joining and subsequently taking over the AU will help em achieve that.",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-04-19 11:30:20,1,07wazeer,"This justifiable angered the English people, what added more fuel to the fire is that with jews settling in England https://t.co/E81i9RViH1",['herbyg72' 'Celtic_Films' 'Cadisbikes' 'RudiGeerts' 'ketanasansol']
2013-01-06 14:03:54,0,0patriot2,"RT @VerminusM: Do you know why so many Jews are bankers, lawyers, and doctors? It's not because of some secret scheme to take over the world. It's because for a very long time, Jews were not allowed to own land or join guilds. The free professions were the only professions left for them.","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-01-22 16:44:29,0,0patriot2,"A picture that speaks more than a thousand words. The martyrdom of Polish Jews and Poles shown in one painting by David Olere, the man who survived the Sonderkommando. ""A Priest and a Rabbi"", 1946. https://t.co/qYYEMoCvg8","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-09-30 04:01:26,0,0patriot2,"As a former MP it’s incredibly alarming to see virulent anti-Israel rhetoric emerging from the House of Commons. Spreading misinformation &amp; ugly falsehoods vilifying Israel has serious consequences for Israelis &amp; for Jews in Canada, &amp; does nothing to advance peace in Middle East.","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-06-03 10:57:03,0,0patriot2,"RT @Sisay34690879: Israel jews are suffering in Tigray. Tigray under complete siege &amp; Ethiopian govt uses misleading of intl community &amp; Israel not save people from Tigray. Friends, families from ðŸ‡®ðŸ‡± &amp; communities canâ€™t reach their people #2YrsTigrayGenocide @WorldBank @IntlCrimCourt @POTUS @UN","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2012-12-18 07:24:20,0,0patriot2,Sweden didn't vax or mask. Stop the bs. Israel did both and lead in new Covid cases. Stop the tyranny.,"['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-11-11 03:42:23,0,0patriot2,Yair Netanyahu ran a poll &amp; now knows for sure that Al Jazeera hates Jews https://t.co/K8pKYrTH4Y,"['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-02-01 14:11:38,0,0patriot2,"Terrorists ambush bus in Syria, killing 9 - Middle East - Israel National News https://t.co/UpMd2lVEuW","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-09-11 06:23:56,0,0patriot2,"@jrezaian @SecPompeo was one of the greatest secretary of state who created about 4 peace agreements between Israel and the Arab league countries ,started from Warsaw summit and he has created a new powerful frontier against the pro Islamic militia and globalist countries @MessageFromLen","['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-02-08 20:42:54,0,0patriot2,Chancellor #Merkel left Israel after two intensive days during which she assured Israel of the deep friendship &amp; lasting responsibility of Germany towards this country. Thank you Israel for having welcomed her so cordially! https://t.co/I2Mi1c1ZRI,"['bryanmepstein' 'kol_Hakavod' 'joshfontanilla' 'gemrosenblatt' 'russianjewess']"
2013-04-29 04:38:27,0,13Casers,"Songs of Hope | Europe, Israel, Africa | Hindi Ko Kaya https://t.co/kJ28WWj9pm via @YouTube \n\n#MCGICHORALESongsOfHope",['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
2013-11-23 19:47:53,0,13Casers,"He's trying to demoralise, not just Jews such as myself but all of our many well-wishers at the expense of the Left for the pettiest of political advantages given he's a LibDem. Whichever percent votes Labour will not contain the most antisemitic elements of the population.",['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
2013-06-16 16:10:50,0,13Casers,A @Jew_Pakistani exported Pakistani food products to Israel market despite the fact that both countries have no diplomatic relations https://t.co/WlnoYfDnDZ,['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
2013-04-29 12:30:43,0,13Casers,RT @COLRICHARDKEMP: You think wars should be fought fairly? Or just Jews� military power is a problem?,['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
2013-08-15 07:31:38,0,13Casers,"Reuters media:\n\n1. More than 200 terrorists trying to enter into J&amp;K from Pakistan\n\nReuters mentioned them 200 fighters.\n\n2. Today, a terrorist killed 2 Israelis. After that, Israel security forces killed that terrorist\n\nReuters mentioned that Israeli forces killed a Palestinian. https://t.co/uIYvWeWuyg",['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
2012-12-04 18:04:53,0,13Casers,@SunniArab2019 Sunni have to coordinate with Super powers like US and regional powers like Israel. This is for their long term interest,['mcconnell_paul' 'hsultan75' 'Malvenue' 'm0nkeymeat' 'davegreenpotter']
